9000 10000
1250 8831 77
5627 4044 57
3088 5455 36
6801 632 45
1628 2124 70
6726 930 25
2145 7474 33
1048 5 36
8126 2345 50
6888 3481 15
422 797 100
2481 3547 75
4793 7699 99
2713 4941 8
7941 5398 34
7086 2553 76
1814 8082 87
6151 1606 7
6939 124 9
6638 1233 59
5646 2735 33
2501 8417 76
8147 293 30
4776 4341 20
2152 8375 52
6457 6073 60
6021 7390 56
5081 8043 63
3349 7583 26
4542 5183 23
2436 4839 7
2250 2952 13
8040 2941 38
2850 4907 100
63 1383 39
5018 8670 58
427 8702 100
1858 8293 57
298 2285 83
3862 2698 88
5030 4796 76
8871 5785 14
3756 4875 35
4069 1027 74
6252 175 61
7422 3636 83
1359 5219 53
6657 5547 76
8715 5170 99
3270 8958 42
8199 7044 27
136 2161 86
3426 4654 45
2728 4759 13
1532 3604 21
3698 2931 100
8481 1940 2
7910 3609 95
7212 6314 47
5298 7052 89
8288 427 42
7837 5463 5
108 5959 98
8799 1130 90
5141 949 14
5580 2344 95
5882 2278 85
4743 6458 8
1472 5654 50
6953 989 62
3494 2334 53
6967 4142 21
2597 6199 6
3851 8431 89
2911 5001 70
1291 5114 64
8287 1827 87
7183 5645 93
8512 561 82
6802 3279 46
8903 3633 12
7065 5174 87
1915 2688 67
3493 5203 21
8804 4481 87
3620 5284 81
3535 8499 85
361 3857 3
4619 4511 55
4376 7286 86
1352 5926 66
6408 134 61
6226 7199 93
4375 7702 17
4606 5106 66
4755 3855 99
4508 8994 52
5304 3760 95
8651 8769 68
2024 7186 13
3800 166 68
671 2731 57
4057 5165 53
8794 7483 89
5204 7411 8
6895 5077 66
3190 4424 76
4823 8121 79
1027 3866 17
6258 7999 79
8563 6200 77
7671 3827 91
8564 8912 67
5386 5997 6
8551 1130 78
715 8717 69
3912 7711 58
846 8406 83
5316 8777 81
6578 8136 32
6217 3095 21
2746 8051 51
3220 682 4
5194 7563 5
3628 2086 42
8220 2108 48
6693 6794 97
7704 6288 19
41 670 58
1078 8536 87
6000 1607 96
6144 8696 14
8242 1800 40
3585 5972 16
8806 1391 61
4842 4708 100
3467 2528 43
6779 7141 65
734 7254 53
6565 7969 86
597 2743 3
6778 8638 32
8496 3747 39
4374 4841 74
1213 6718 23
3928 4376 38
2031 7225 89
8016 8114 26
8691 190 96
2953 1024 35
2433 6352 44
6701 320 77
5238 3535 90
5053 7797 66
2391 2340 50
5636 6192 55
8622 2254 43
3349 5935 70
5407 6109 69
8698 5951 40
6107 1448 53
780 6669 36
3159 2298 92
6341 2037 41
206 7685 22
5659 2834 46
1165 1895 30
7748 8089 67
4094 6141 46
7162 6614 1
5154 6815 91
8653 1056 17
1711 675 82
5652 5749 64
4429 8980 98
4032 8524 69
2044 5130 64
2501 6782 4
1139 291 86
1830 1034 55
1161 927 18
2209 7504 46
1312 5217 86
1368 6089 53
6346 2140 8
3382 6117 14
6186 6092 58
4376 8819 90
427 448 2
7201 3367 47
8668 8434 7
5170 8115 65
4209 7295 89
701 5601 24
7926 5591 6
7922 1496 71
8233 4179 89
5088 8279 32
4546 5923 43
3591 4725 15
4909 5935 40
2365 2922 80
6934 2557 100
2622 7955 23
5894 2172 83
3452 4716 26
7428 7181 80
1332 4127 2
5164 2505 79
871 1607 96
2998 551 63
7903 2166 24
5127 3677 47
6181 1088 9
2315 5831 74
7614 2691 80
6711 2137 92
2098 2000 41
8346 877 13
6827 1287 12
5006 2153 51
8720 7969 17
6019 1376 89
8693 5261 35
7963 5277 12
8288 3245 12
8647 5928 29
3294 2805 10
3289 1505 25
2696 4516 97
5072 7696 78
8690 4538 55
6953 3316 19
4801 3121 98
8659 3569 59
5949 3856 35
6134 4242 86
2553 3881 88
2828 7640 48
8411 439 54
7798 4772 56
8738 4071 35
631 5530 22
1568 1876 48
5643 6045 32
5104 3978 39
5779 3406 50
7179 5799 59
1193 7421 31
4900 4127 97
6218 156 64
4670 7170 6
7511 8069 48
8715 2764 67
8748 3943 100
1310 161 6
5523 3771 84
8099 4700 37
4846 6404 86
1329 158 65
317 4184 48
6175 2057 2
6935 1019 3
2542 7082 77
249 5990 61
8111 5021 26
1999 3449 88
8912 6739 46
3036 1604 88
4377 3744 43
2179 1644 48
2475 7753 67
637 4767 34
4391 3867 54
8413 3180 96
6810 2952 14
2450 345 42
657 431 66
3864 8620 95
262 8402 4
8982 8277 4
8026 5915 69
2390 4303 60
67 2117 54
6274 4566 14
5873 5537 2
7047 1299 48
7045 5356 56
5533 3335 13
5136 5671 14
5996 4944 18
5999 7024 90
1249 5852 5
8535 7036 24
941 3390 24
5801 4005 51
6327 2469 15
8939 3794 41
3362 3182 28
7587 5257 58
5060 6232 44
1214 472 60
1616 3708 42
1924 402 40
4414 8593 54
8867 7303 38
153 4389 55
5756 4371 60
2425 6001 25
6173 3167 88
5606 702 6
7651 248 86
1084 7742 81
5801 3926 70
7825 8481 23
4537 8214 78
5345 386 48
4920 5099 19
822 6004 82
2710 3429 6
8926 7545 33
7055 2057 72
3564 4142 69
7112 6231 71
2499 6999 15
418 6805 13
8089 7751 37
7586 8648 49
5475 6790 52
6077 6009 29
4429 7823 70
8157 3323 6
1835 4802 14
3199 4706 57
982 3881 88
6760 3680 43
775 7569 61
6300 7431 44
5585 4347 30
1779 3970 4
1642 2370 84
7171 5857 49
4206 3465 34
8386 3506 5
4633 50 51
2105 4986 57
7300 6848 12
2215 2868 83
1709 5488 10
3595 5876 81
4668 3065 86
1248 3533 20
4588 7992 27
4152 8774 85
365 7498 36
2817 63 74
8782 7768 32
1334 4631 84
6092 386 90
6513 6262 34
1932 5378 44
7854 8479 49
7912 3554 59
7343 7266 65
5424 7493 51
2174 2231 64
4653 7912 27
6710 2088 96
1706 3962 71
1124 797 96
6197 5950 65
4186 6405 40
5859 2942 31
1546 4509 8
2968 6340 74
169 4019 19
7498 7754 24
5004 8818 92
5067 1510 84
4530 5830 85
5821 1831 33
2380 6575 11
5663 1877 3
7279 4548 54
2806 2768 21
5419 4765 57
4543 4084 87
8538 1982 99
6232 427 18
1257 1197 57
8580 6 34
5344 7437 54
8591 2771 24
6895 434 91
2046 7159 56
4850 6744 51
2342 663 19
8447 8514 67
3893 4658 36
6590 299 83
3764 2566 98
4668 2872 51
5300 7855 95
1096 6667 12
3496 6680 15
5278 677 53
3874 4891 98
8860 6101 21
8334 3521 17
3116 2947 18
7546 4918 5
4510 5344 92
481 3089 24
7658 6671 96
4355 7613 97
7432 4989 53
7317 3884 36
2764 7 32
2191 4083 100
2723 210 97
1260 2125 69
7402 2067 82
516 2998 50
5448 5666 40
3882 2324 80
1979 4619 15
5403 2451 52
6809 3625 60
1941 2218 10
4874 1522 20
3921 6877 87
630 7935 99
1896 5205 61
6115 4139 92
8202 5696 54
3895 8762 25
4230 2264 82
1328 4176 7
3304 50 80
4074 6807 17
8660 37 100
1414 7944 26
1722 8562 60
482 6602 27
7594 2824 72
1860 8409 4
8270 668 94
4768 5288 79
3184 789 89
3504 5786 51
1677 5053 81
4470 6321 19
3759 628 86
5650 5590 12
8094 940 49
4959 603 3
1670 4591 43
23 6174 84
547 6679 46
2248 2492 3
285 2325 29
8133 6649 68
8419 2405 25
7848 8964 6
4258 6333 56
7018 512 71
8383 1593 81
4878 6757 60
6873 4869 74
416 3650 69
3180 3290 22
1889 1797 30
5139 1433 10
3727 3918 43
3284 7293 46
5913 3886 71
76 4185 40
1496 4470 98
2278 1923 29
8910 985 35
6796 1197 98
1431 4738 15
3878 1643 85
3520 6903 10
4996 1219 66
2705 2549 84
8426 7423 81
1745 7798 43
5545 6017 20
5242 4440 97
4794 4545 97
8192 5261 44
4749 3656 19
6962 582 69
402 559 80
8581 5225 65
7053 5029 25
8611 7349 41
8302 1874 89
5092 2606 76
8738 8719 23
6735 8424 41
647 3545 54
3170 3067 30
4580 8491 71
6078 3684 53
4003 2657 62
7605 2393 61
4161 8573 65
1588 8135 32
4783 1339 56
6505 1104 13
3826 5592 35
3097 1280 91
3744 5542 27
5091 4622 1
4984 7179 35
3907 2128 55
5668 4620 42
5098 6712 14
3349 3010 80
7683 5899 83
3073 7687 72
271 1707 5
2612 7639 51
6840 5794 6
8530 6627 80
4445 3442 60
4033 1562 77
8170 4014 38
2353 5893 49
1831 3605 4
7516 4208 100
2802 4373 20
5423 6951 75
8255 1518 11
4531 2881 43
7738 7304 71
7726 3348 6
8714 7383 5
1020 3502 90
3414 8722 78
3561 8011 100
2140 226 82
3367 1457 91
5651 5852 32
4311 3983 17
6722 878 92
2987 8087 26
626 72 57
5394 884 95
8986 7960 2
7413 2327 13
5040 1763 49
4322 2783 20
1261 3360 72
2773 294 22
3967 7585 81
3359 1789 100
6579 5744 83
3091 5672 10
4491 1603 99
4308 4447 87
5525 2610 34
7216 1917 54
1713 7912 43
4855 754 61
329 2877 32
1975 1457 50
4409 2161 29
5865 7982 37
5772 4451 72
6880 3922 53
5383 8303 50
2162 2587 59
2003 7229 30
578 4407 71
8524 3052 9
4335 2412 1
835 2993 37
8833 2078 52
383 954 39
8813 2939 36
1634 8493 10
1778 707 71
6046 280 50
8727 4782 76
214 963 38
7689 2544 32
6301 1821 91
5816 6473 52
3757 556 9
6197 4062 88
5050 1333 45
357 1778 33
4461 4422 63
8234 3482 8
6851 8419 20
755 3262 80
4580 1119 40
412 7504 6
4006 8341 47
5496 1175 56
6492 3326 71
1318 2665 74
8657 6602 89
8945 4038 24
4857 7537 18
5306 3374 72
4325 7102 52
3136 2072 96
3291 5270 27
8374 2634 86
1971 5237 66
2693 7274 96
1119 3268 69
3700 6570 22
1587 1121 67
4330 4586 82
7643 5136 91
1675 5211 57
1979 8299 82
4450 4203 93
1843 6736 68
3210 8784 50
597 7430 58
2690 1464 32
8001 929 15
3256 661 86
6582 7647 4
7104 7160 57
7807 2465 74
1009 7372 15
371 4544 70
7838 7991 63
6061 7863 24
2184 8884 95
1380 6163 41
2793 6054 31
1157 2718 39
8599 79 12
5996 7981 14
4246 5630 57
4209 7898 6
8790 8068 82
3786 7175 9
7279 2499 4
271 1104 25
6129 3512 40
7424 3210 61
8608 7801 11
7010 1861 69
1273 3744 40
6389 1971 44
6503 5802 56
7457 7059 92
64 6765 13
3636 5924 62
2356 8931 76
8715 4663 53
8974 3953 27
5184 6708 34
7111 397 93
2419 5518 39
3230 595 11
4300 7078 56
6507 4515 84
6872 3139 33
7035 2759 83
509 4597 43
7266 1032 88
1423 4056 36
6808 4364 68
720 2814 66
992 1329 57
2372 2348 65
3466 7718 46
5151 4025 36
2511 1501 86
3726 5821 37
5794 3331 93
5557 7378 29
5646 2252 27
6836 3430 17
7929 8593 60
1854 2940 23
8601 2317 61
2434 5421 91
2929 5556 8
885 4312 23
8137 8084 81
1104 1159 78
5334 173 11
5962 7937 48
7554 1891 38
5506 6745 25
273 7878 1
5419 2967 10
4888 7442 96
8376 3456 61
6755 7812 26
7902 2908 35
3298 3546 78
1180 8412 36
178 6278 54
7718 740 54
8637 1017 20
4940 34 42
8239 1270 82
3560 2364 95
4363 7107 92
8407 2534 70
2557 8658 84
5399 8381 84
7082 426 94
2128 2163 61
6764 7615 17
6921 7783 96
5916 5697 4
947 6768 18
3531 5707 56
5143 5225 47
8068 3882 38
6658 1187 96
7082 4246 97
7758 2743 34
8419 5580 85
3547 1328 81
8879 6686 75
2770 3993 40
4251 7801 89
3067 493 95
1593 625 6
4764 366 68
3743 3031 56
3266 93 85
517 4980 88
2336 1063 86
8344 8526 78
2246 4853 26
7395 6182 61
3424 4670 87
8037 5100 96
5428 1506 17
4436 5768 50
3667 5554 92
404 2107 98
1004 7162 34
3213 2109 46
5930 7660 24
8935 1716 38
8653 119 71
3981 7144 37
8764 4870 56
1610 7949 40
6699 6818 59
3685 4842 6
378 3412 10
5971 7259 3
2338 6255 1
5682 5221 17
3693 1830 3
2725 8099 3
2289 6647 55
1385 8227 69
7571 2591 30
7686 3439 82
5773 2293 19
7764 5064 13
5215 8058 86
8506 6086 62
7657 6231 96
631 2408 91
1853 1756 90
3135 6244 57
8726 5706 51
5476 7444 21
7043 2894 34
7917 5282 41
8368 2996 70
3585 3794 20
6422 7117 35
4669 6803 78
6258 8329 2
100 6814 13
6112 6574 74
6864 3207 65
4783 3766 65
6226 3896 52
4068 6381 56
5774 1771 22
1702 2663 55
1517 4311 84
1988 925 46
8944 2059 97
4962 5873 10
7773 6049 15
2132 8653 90
4004 4873 35
5073 3645 99
7371 8664 43
7948 755 7
6219 5481 14
2391 6713 10
7019 8587 51
6477 2607 43
3996 848 76
2404 3471 93
1864 7220 15
5088 436 44
6022 1504 73
8636 6099 45
5886 6291 31
2343 8050 55
536 7655 79
1162 6239 82
2439 413 80
5873 5983 97
1599 7456 16
8571 4554 94
6505 2758 59
5492 1557 43
1623 5662 26
11 5179 72
5132 8776 18
2886 8963 92
8886 5311 27
516 5463 36
2276 6197 73
3423 4297 81
7788 4501 1
7579 5168 100
7575 3498 38
1804 6141 67
8476 5330 27
907 8855 97
1044 8123 67
1625 4822 20
4414 1762 67
6795 1083 72
4423 4230 63
349 1709 95
6729 1012 87
6798 5082 6
4579 8795 35
1892 7626 71
4895 6039 62
7824 7264 73
573 610 79
8756 6310 29
973 2223 39
1256 4918 7
5213 3832 25
5824 2324 59
769 3696 26
3568 8275 59
3109 3562 95
6915 2357 55
6999 2675 13
820 1165 54
6887 3794 86
2301 8862 77
7724 5878 99
485 6596 23
3269 487 90
6650 1479 87
2657 3096 33
3425 3659 55
2195 1868 25
4431 1732 1
5910 6938 57
2584 457 21
234 5662 31
193 1812 39
3430 7505 2
7252 5752 72
1170 7822 61
2800 7459 63
7899 2238 5
4199 5282 28
1392 3202 65
5989 1228 86
3724 8972 22
5072 7206 80
2807 2159 66
6471 305 6
4993 5984 81
4760 8548 64
7800 3017 37
1082 2512 8
7404 3792 63
8880 3149 52
2440 6838 61
855 2802 53
7915 555 67
648 183 86
2224 628 29
1001 7810 44
4691 7421 13
3051 724 48
4486 6230 62
3001 6703 71
8803 5955 71
8961 7710 62
8440 3582 8
7950 7214 87
183 8402 95
3334 6280 51
5876 4581 19
2514 8046 13
8231 1241 32
1672 8409 38
354 392 100
836 3050 69
8552 8445 2
7068 4328 5
843 4790 98
8357 269 83
8480 4420 81
5691 1939 1
583 6657 11
3393 487 14
5332 6402 58
2200 5265 11
6946 3931 88
1450 1600 59
6644 8881 12
268 5191 67
3424 1160 75
3467 4234 92
1663 2057 52
7432 3843 24
5767 8663 64
5756 1863 50
716 2110 2
990 1186 56
2713 2921 92
5704 7499 42
2537 5009 74
8641 235 16
5444 5633 43
8705 66 57
2492 8004 73
8089 4416 14
1338 4875 54
8055 1498 31
6020 4595 51
993 5467 38
5515 3125 28
2929 8718 53
6361 8411 74
2754 7199 97
1991 1527 54
6314 904 34
5226 472 89
2943 8420 43
7934 457 33
1646 8293 55
5089 1870 63
7098 6166 2
6429 3491 48
1388 1678 75
6518 3304 3
6307 2343 7
1446 2358 97
5397 2628 65
5279 1841 92
4678 2268 45
4542 5651 61
4758 485 42
5696 7116 54
8348 6465 51
3161 2952 100
1620 4718 81
3604 6881 92
5182 7780 32
1928 3457 47
2559 5638 28
7874 5366 25
739 7017 19
3715 63 63
7669 2982 14
4753 1748 57
2457 7004 47
8076 7960 70
5826 635 6
2974 4198 28
5692 6267 17
4217 2092 60
8162 3787 18
6679 5723 100
7585 7136 71
6839 3645 62
1533 3263 47
7236 5641 84
4673 6916 15
2984 1489 83
1069 3173 68
1064 726 6
2734 1034 65
4521 5005 73
1513 6957 63
2385 5598 79
5940 1061 99
5298 8414 51
6381 7071 63
871 7368 12
2689 8562 14
651 7385 97
7399 8177 21
5151 1393 50
2848 5538 95
507 25 47
4027 8504 26
754 5524 12
4772 2533 18
5485 6794 58
5320 2253 46
8090 2515 61
5685 2584 5
705 6660 72
5434 8509 77
6392 3160 49
2756 2497 56
4533 5494 77
2812 6007 72
5408 4235 19
8393 4910 84
8524 4766 6
1109 7452 87
2849 8557 63
1724 3472 82
2583 4797 85
234 1977 86
4674 5934 86
8794 986 23
8525 7767 99
4315 4713 33
2819 401 64
4237 5400 11
3098 3694 92
7641 1771 79
8670 3699 12
164 5542 23
2842 7835 76
8017 2064 48
7047 3698 9
7825 2135 41
8392 7772 49
5304 5607 3
5368 7195 45
3289 1388 47
1134 6675 1
2465 3435 51
7832 29 88
6528 612 72
7000 1051 88
6342 8024 14
2675 3105 20
980 2452 79
1901 3722 9
3452 4717 87
786 5904 82
2603 1573 4
5499 1074 22
4117 2715 91
1791 1299 16
7856 7158 48
3274 7311 96
2456 599 63
1221 6916 62
7105 4098 65
7302 4794 54
8670 7785 49
3391 4872 16
4162 8273 38
892 4040 10
1132 313 34
2721 8160 91
6547 2901 70
6110 6967 33
396 90 34
2842 2163 98
8586 6578 78
5414 3254 15
3877 8886 45
2038 4682 17
4067 6083 73
189 1972 90
2697 1885 65
8986 3551 31
672 8765 6
3599 397 12
284 1570 95
5898 8539 59
2427 5190 52
3325 2909 56
4873 5177 47
3470 612 99
5597 197 14
2228 4112 90
3986 5053 96
8736 4652 63
5342 2513 66
1782 4195 87
4621 2198 82
7305 6396 29
6228 2393 55
6710 1340 46
1232 6 19
6061 7939 22
1858 7144 57
7613 290 9
1209 6391 31
3573 1413 100
5947 5430 96
5257 5904 75
7331 1804 58
8139 3745 42
4202 8997 67
8933 15 98
2899 1228 23
2848 8958 27
245 3351 60
2720 4363 88
5485 7213 82
3024 4043 61
4466 7941 38
1440 7212 35
221 127 87
8391 2598 68
5049 5567 69
3483 5221 70
1944 5461 45
7364 7721 53
5895 3598 95
978 7742 28
5012 4642 39
6836 5624 5
1333 8947 30
1386 309 10
379 6452 85
1337 7096 37
3217 2831 1
4821 8990 81
8233 1336 17
3010 2062 83
831 3975 55
7372 8291 58
6068 581 3
3306 5627 86
8941 1523 41
1915 2560 95
6536 2846 22
5371 6062 70
595 4939 86
6657 3665 22
5727 1186 70
5870 1346 36
4241 4410 77
2735 8962 59
5462 8595 79
1806 8155 67
4497 5842 75
292 5565 67
957 5282 86
1583 4743 21
7309 5041 20
6705 65 28
5039 2214 62
8991 8956 35
6587 1549 29
5441 1833 17
4940 8743 78
3370 3353 76
8639 6148 29
984 3026 66
6459 5998 9
5065 6920 46
